"","Artists_names","titles","links"
"58","Dilys R. Lovell","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21574?highlight=*:*"
"59","Unknown","Patchwork quilt (1700-1899)","https://collections.ed.ac.uk/art/record/102731?highlight=*:*"
"60","Susan Pettinger","Untitled","https://collections.ed.ac.uk/art/record/112500?highlight=*:*"
"61","Dr Ainslie Yule","Untitled (1961)","https://collections.ed.ac.uk/art/record/99531?highlight=*:*"
"62","Mollie E N Langlands","Reclining Female Nude (1949-1950)","https://collections.ed.ac.uk/art/record/21019?highlight=*:*"
"63","Alistair M Park","Harbour (1953-1954)","https://collections.ed.ac.uk/art/record/21348?highlight=*:*"
"64","Susan Veitch","Untitled (1987)","https://collections.ed.ac.uk/art/record/21898?highlight=*:*"
"65","Joyce M Cumming","untitled","https://collections.ed.ac.uk/art/record/112357?highlight=*:*"
"66","Peter McGinn","Seated Man seen from behind (Circa 1955)","https://collections.ed.ac.uk/art/record/21089?highlight=*:*"
"67","Rhona L. Barclay","Unknown (31 May 1960)","https://collections.ed.ac.uk/art/record/50618?highlight=*:*"
"68","Mary Shanks","Portrait of a Woman (1960)","https://collections.ed.ac.uk/art/record/20947?highlight=*:*"
"69","Kyle Noble","Relic of Origins: Wild Boar (2013)","https://collections.ed.ac.uk/art/record/21304?highlight=*:*"
"70","Sheila Turnbull","Unknown (1947)","https://collections.ed.ac.uk/art/record/50454?highlight=*:*"
"71","L Henniker","Abstract","https://collections.ed.ac.uk/art/record/21455?highlight=*:*"
"72","Unknown","Portrait of a Woman (1957)","https://collections.ed.ac.uk/art/record/21257?highlight=*:*"
"73","John F. Mooney","Abstract (1971)","https://collections.ed.ac.uk/art/record/22679?highlight=*:*"
"74","Colin Brown","Sketch for Final Composition","https://collections.ed.ac.uk/art/record/53566?highlight=*:*"
"75","Emma Gillies","Teacup","https://collections.ed.ac.uk/art/record/53651?highlight=*:*"
"76","Carolyn S Byres","Untitled - Woman in Hat with Ribbon (1980)","https://collections.ed.ac.uk/art/record/99426?highlight=*:*"
"77","Ruoyan Wang","The Smile You Put On Everyday (2016)","https://collections.ed.ac.uk/art/record/99241?highlight=*:*"
"78","Dorothy M. Peach","Drawing of Dominico Mancini (1946)","https://collections.ed.ac.uk/art/record/21740?highlight=*:*"
"79","Alexander F Mitchell","Portrait of a Seated Woman (1950)","https://collections.ed.ac.uk/art/record/21053?highlight=*:*"
"80","Christine Malcolm","Reclining Nude with Jacket (1967)","https://collections.ed.ac.uk/art/record/21266?highlight=*:*"
"81","Wendy Gunn","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21719?highlight=*:*"
"82","Mollie E N Langlands","Norwegian Ponies (1953)","https://collections.ed.ac.uk/art/record/99218?highlight=*:*"
"83","C Byron","Standing Female Nude (1959)","https://collections.ed.ac.uk/art/record/20916?highlight=*:*"
"84","Norman E Kirkpatrick","Portrait of a Man (1957)","https://collections.ed.ac.uk/art/record/21022?highlight=*:*"
"85","Bennett","Untitled","https://collections.ed.ac.uk/art/record/111042?highlight=*:*"
"86","James H. Fairgrieve","Still Life with Shadow of Kettle (1966)","https://collections.ed.ac.uk/art/record/22734?highlight=*:*"
"87","Colin Montgomery","Damn blast and a side order of damn","https://collections.ed.ac.uk/art/record/22545?highlight=*:*"
"88","Angus C. A. Hood","Seated Figure Reading Newspaper","https://collections.ed.ac.uk/art/record/22610?highlight=*:*"
"89","Michael Kinane","Seascape (1978)","https://collections.ed.ac.uk/art/record/21492?highlight=*:*"
"90","Emma Gillies","Espresso Cup","https://collections.ed.ac.uk/art/record/53698?highlight=*:*"
"91","Kirkland Main","Man with Woman Smoking (1964)","https://collections.ed.ac.uk/art/record/22549?highlight=*:*"
"92","Norma Kirk","Untitled (1961)","https://collections.ed.ac.uk/art/record/22011?highlight=*:*"
"93","Unknown","Mourner No. 54 from the Tomb of John the fearless (Pre 1895)","https://collections.ed.ac.uk/art/record/20610?highlight=*:*"
"94","Emma Gillies","Teapot Lid (1924)","https://collections.ed.ac.uk/art/record/53743?highlight=*:*"
"95","Emma Gillies","Jug (1920s)","https://collections.ed.ac.uk/art/record/122134?highlight=*:*"
"96","Alejandro B. Brasó","Unknown (1955)","https://collections.ed.ac.uk/art/record/50603?highlight=*:*"
"97","McArthur","Untitled","https://collections.ed.ac.uk/art/record/111043?highlight=*:*"
"98","Unknown","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/99922?highlight=*:*"
"99","John Mooney","John Mooney Paintings (1984)","https://collections.ed.ac.uk/art/record/21846?highlight=*:*"
"100","William D Clyne","Unknown (1947-1948)","https://collections.ed.ac.uk/art/record/50635?highlight=*:*"
"101","Renny Tait","Portrait of a Man (1983-1988)","https://collections.ed.ac.uk/art/record/21472?highlight=*:*"
"102","Unknown","Jacobean fragment (Jacobean?)","https://collections.ed.ac.uk/art/record/100011?highlight=*:*"
"103","Helen Pollock","Elders from South Frieze of the Parthenon (1836-1837)","https://collections.ed.ac.uk/art/record/20680?highlight=*:*"
"104","Alexander Cree","Green Landscape (Circa 1967)","https://collections.ed.ac.uk/art/record/21436?highlight=*:*"
"105","Emma Gillies","St Pauls at Night (1950)","https://collections.ed.ac.uk/art/record/50546?highlight=*:*"
"106","Helen G. S Forde","Plate","https://collections.ed.ac.uk/art/record/53721?highlight=*:*"
"107","George Mackintosh","Untitled (1966)","https://collections.ed.ac.uk/art/record/99817?highlight=*:*"
"108","Martin G C McKeown","Seated Male Nude (1959)","https://collections.ed.ac.uk/art/record/20884?highlight=*:*"
"109","Douglas Baxter","Portrait of a Woman (Feb 1952)","https://collections.ed.ac.uk/art/record/21414?highlight=*:*"
"110",NA,"Unknown","https://collections.ed.ac.uk/art/record/50400?highlight=*:*"
"111","Michael Docherty","Portrait of Man in Red Jacket (1968)","https://collections.ed.ac.uk/art/record/21178?highlight=*:*"
"112","Susie Wilson","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21796?highlight=*:*"
"113","Samuel John Peploe","Female Nude with Pitcher","https://collections.ed.ac.uk/art/record/20736?highlight=*:*"
"114","Joanne Leonie Milne","Untitled (Nov 1988)","https://collections.ed.ac.uk/art/record/21936?highlight=*:*"
"115","Gordon Anderson","Unknown","https://collections.ed.ac.uk/art/record/50411?highlight=*:*"
"116","Catherine Orbach","West Coast Seascape (Unknown)","https://collections.ed.ac.uk/art/record/21790?highlight=*:*"
"117","Unknown","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21566?highlight=*:*"
"118","Garry Campbell","Man with Concrete Jungle Record","https://collections.ed.ac.uk/art/record/21426?highlight=*:*"
"119","Sera K","Untitled (1997)","https://collections.ed.ac.uk/art/record/21779?highlight=*:*"
"120","Robin Jones","Printed Fabric","https://collections.ed.ac.uk/art/record/22538?highlight=*:*"
"121","Joan Eardley","Cornfield (1963)","https://collections.ed.ac.uk/art/record/21957?highlight=*:*"
"122","Emma Gillies","Plate","https://collections.ed.ac.uk/art/record/53673?highlight=*:*"
"123","Moira E. Brown","Horse and Cart (1956)","https://collections.ed.ac.uk/art/record/22712?highlight=*:*"
"124","Kirsty MacDonald","Untitled (2002)","https://collections.ed.ac.uk/art/record/99949?highlight=*:*"
"125","Peter Coyle","Standing Female Nude (1957)","https://collections.ed.ac.uk/art/record/20969?highlight=*:*"
"126","Unknown","Gem cabinet 3 (of 6) containing 43 medallions","https://collections.ed.ac.uk/art/record/20617?highlight=*:*"
"127","Aitons Bytautus","Hill Fence (1976)","https://collections.ed.ac.uk/art/record/50385?highlight=*:*"
"128","Unknown","Unknown (Unknown)","https://collections.ed.ac.uk/art/record/21675?highlight=*:*"
"129","John Houston","Portrait of a Man (Circa 1952)","https://collections.ed.ac.uk/art/record/21351?highlight=*:*"
"130","Zillah Green","Untitled (2002)","https://collections.ed.ac.uk/art/record/99951?highlight=*:*"
"131","William Gillon","Untitled - City Scene at Night (1964-1965)","https://collections.ed.ac.uk/art/record/99483?highlight=*:*"
"132","Eleanor Maiden","Untitled - Nude Female Standing (1964)","https://collections.ed.ac.uk/art/record/99360?highlight=*:*"
"133","Victoria C F Bernie","Walking the Wall (Unknown)","https://collections.ed.ac.uk/art/record/21906?highlight=*:*"
"134","Zygmunt Bukowski","Still Life, Oil Paints and Pots (1949)","https://collections.ed.ac.uk/art/record/22732?highlight=*:*"
"135","E McCallum","Drawing of a Woman (1958)","https://collections.ed.ac.uk/art/record/20960?highlight=*:*"
"136","Dorothy Black","Swirlings (1989)","https://collections.ed.ac.uk/art/record/21972?highlight=*:*"
"137","Alexander Cree","Male Model with Towel (1950)","https://collections.ed.ac.uk/art/record/22661?highlight=*:*"
"138","Mary D Thomson","Unknown (1949)","https://collections.ed.ac.uk/art/record/50453?highlight=*:*"
"139","Kathleen Russell","Untitled (1960)","https://collections.ed.ac.uk/art/record/99519?highlight=*:*"
"140","Unknown","Garden of Eden (1987)","https://collections.ed.ac.uk/art/record/21608?highlight=*:*"
"141","Leslie Johns","Untitled (1962)","https://collections.ed.ac.uk/art/record/21767?highlight=*:*"
"142","Matt Carter","Untitled (2007)","https://collections.ed.ac.uk/art/record/99975?highlight=*:*"
"143","Caroline E. L. Wilkinson","Abstract Composition with Fabric Collage","https://collections.ed.ac.uk/art/record/22511?highlight=*:*"
"144","Trevor Stubley","Landscape (Circa 1953)","https://collections.ed.ac.uk/art/record/21413?highlight=*:*"
"145","John Johnstone","Portrait of a Man (1960)","https://collections.ed.ac.uk/art/record/21357?highlight=*:*"
"146","Anna Chapman","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21603?highlight=*:*"
"147","J.","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21953?highlight=*:*"
"148","John Brown","Crazily Paved (Unknown)","https://collections.ed.ac.uk/art/record/21661?highlight=*:*"
"149","Emma Gillies","Giraffe","https://collections.ed.ac.uk/art/record/53749?highlight=*:*"
"150","Alison Duncan","Untitled (Dec 1972)","https://collections.ed.ac.uk/art/record/21581?highlight=*:*"
"151","Unknown","Swedish apron (1958)","https://collections.ed.ac.uk/art/record/102689?highlight=*:*"
"152","Janice McNab","Inverleith","https://collections.ed.ac.uk/art/record/22526?highlight=*:*"
"153","Gillian Mather","Unknown (1968)","https://collections.ed.ac.uk/art/record/53589?highlight=*:*"
"154","Caroline Conway","Placa del Sol (1991)","https://collections.ed.ac.uk/art/record/21839?highlight=*:*"
"155","Jean I. Beattie","Reclining Male Nude (1959)","https://collections.ed.ac.uk/art/record/20923?highlight=*:*"
"156","Elle McKee","Banners of the Banned (MAY 2017)","https://collections.ed.ac.uk/art/record/100019?highlight=*:*"
"157","Denness Morton","Sketches of Five Heads (1959)","https://collections.ed.ac.uk/art/record/20886?highlight=*:*"
"158","Richard Easson","Untitled (1969)","https://collections.ed.ac.uk/art/record/22493?highlight=*:*"
"159","John Bellany","Seated Elderly Couple (Apr 1963)","https://collections.ed.ac.uk/art/record/20767?highlight=*:*"
"160","V. Constant","Abstract","https://collections.ed.ac.uk/art/record/111443?highlight=*:*"
"161","Alastair Burns","Untitled - Sitting Nude Woman (1968)","https://collections.ed.ac.uk/art/record/99475?highlight=*:*"
"162","Emma Gillies","Saucer","https://collections.ed.ac.uk/art/record/53622?highlight=*:*"
"163","Thora Clyne","Still Life - Tomatoes (1960)","https://collections.ed.ac.uk/art/record/22719?highlight=*:*"
"164","Paul J Donaldson","Urban Scene","https://collections.ed.ac.uk/art/record/21446?highlight=*:*"
"165","Maria Hadam","Metope 10, south entablature, Parthenon (1837)","https://collections.ed.ac.uk/art/record/20649?highlight=*:*"
"166","Vivian Chapman","Step 3 (2013)","https://collections.ed.ac.uk/art/record/21308?highlight=*:*"
